City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Forsytheganj,52.63,29.73,47.77,79,53,8.84,BY,1603753236
Bonthe,7.53,-12.51,79.14,87,81,6.49,SL,1603753507
Pirovskoye,57.63,92.27,33.57,97,100,4.68,RU,1603753507
Dicabisagan,17.08,122.42,79.25,85,99,2.75,PH,1603753507
Avera,33.19,-82.53,68,81,90,4.7,US,1603753134
Mariestad,58.71,13.82,48.2,93,100,6.93,SE,1603753507
Mtsensk,53.28,36.57,43.93,84,100,7.45,RU,1603753508
Wufeng,27.45,104.83,46.96,100,99,2.19,CN,1603753508
Xam Nua,20.42,104.04,63.81,95,99,1.05,LA,1603753508
Parchim,53.43,11.85,48.99,96,100,4,DE,1603753508
Tolaga Bay,-38.37,178.3,67.82,59,50,6.51,NZ,1603753508
Guerrero Negro,27.98,-114.06,73.78,35,1,23.38,MX,1603753020
Meulaboh,4.14,96.13,75.9,87,93,4.38,ID,1603753000
Bambous Virieux,-20.34,57.76,72,78,75,8.05,MU,1603753157
Tiksi,71.69,128.87,6.37,94,99,6.62,RU,1603753176
Careiro da Várzea,-3.2,-59.81,84.2,79,75,4.7,BR,1603753509
Muli,2.92,73.57,82.04,75,8,8.16,MV,1603753509
Esperance,-33.87,121.9,57.2,93,0,5.82,AU,1603753190
Yakeshi,49.28,120.73,23.99,94,99,17.96,CN,1603753509
Broome,42.25,-75.83,55.99,93,90,9.17,US,1603753006
George,-33.96,22.46,60.8,100,1,4.7,ZA,1603753509
Santarém,-2.44,-54.71,86,70,20,2.24,BR,1603753510
Russell,32.35,-85.2,80.6,61,1,5.82,US,1603753510
Kavieng,-2.57,150.8,85.03,63,80,6.38,PG,1603753150
Portland,45.52,-122.68,55,37,20,3.36,US,1603753090
Yaan,7.38,8.57,75.47,86,93,5.17,NG,1603753510
Nouadhibou,20.93,-17.03,75.2,64,0,18.34,MR,1603753510
Makkah al Mukarramah,21.43,39.83,74.59,65,0,2.06,SA,1603753425
Fort-Shevchenko,44.51,50.26,51.55,62,88,11.88,KZ,1603753510
Kununurra,-15.77,128.73,75.2,94,90,6.93,AU,1603753193
Port Lincoln,-34.73,135.87,58.15,79,17,10.8,AU,1603753014
Rochegda,62.8,43.25,28.36,97,98,8.19,RU,1603753511
Nome,64.5,-165.41,37.99,59,20,6.93,US,1603753166
Saint Joseph,39.77,-94.85,32,86,90,11.41,US,1603753511
Aykhal,66,111.5,-7.6,83,100,2.24,RU,1603753511
Sinnamary,5.38,-52.95,79.81,86,3,10.51,GF,1603753143
Barcelona,41.39,2.16,57.2,50,20,8.05,ES,1603753387
Kendari,-3.94,122.5,80.82,75,100,0.78,ID,1603753511
Leningradskiy,69.38,178.42,27.03,97,100,13.6,RU,1603753171
Oistins,13.07,-59.53,75.2,94,75,21.92,BB,1603753453
Karak,31.17,35.75,62.6,20,0,5.82,JO,1603753512
Bandarbeyla,9.49,50.81,75.47,79,51,12.15,SO,1603753138
Falmouth,50.15,-5.07,51.8,81,56,14.99,GB,1603753225
Pierre,44.37,-100.35,17.6,61,1,9.17,US,1603753321
Zambezi,-13.54,23.1,74.59,53,53,2.75,ZM,1603753512
Dogondoutchi,13.64,4.03,84.69,15,11,3.6,NE,1603753225
Prado,-17.34,-39.22,73.83,90,3,6.4,BR,1603753512
Mormugao,15.4,73.8,76.59,87,2,5.37,IN,1603753513
Cao Bang,22.67,106.25,67.03,88,41,2.01,VN,1603753513
Siniscola,40.57,9.69,57.2,82,100,9.17,IT,1603753513
Rome,43.21,-75.46,48.2,93,90,4.7,US,1603753091
San Quintín,30.48,-115.95,69.33,38,14,9.66,MX,1603753136
Skerries,53.58,-6.11,46,87,20,6.93,IE,1603753513
Zhezkazgan,47.8,67.71,37.29,74,6,12.62,KZ,1603753514
Luena,-11.78,19.92,64.63,88,100,4.27,AO,1603753514
Kīhei,20.79,-156.47,89.6,52,40,10.29,US,1603753514
Manuk Mangkaw,4.8,119.85,83.46,74,100,19.28,PH,1603753514
Suriāpet,17.15,79.62,71.71,78,0,7.02,IN,1603753514
Odienné,9.51,-7.57,74.07,58,96,0.81,CI,1603753332
Attock,33.77,72.36,57.99,58,0,5.82,PK,1603753514
Apastovo,55.2,48.51,26.6,73,40,8.95,RU,1603753515
Castro,-24.79,-50.01,65.07,85,97,3.36,BR,1603753134
Eilat,29.56,34.95,78.8,74,0,3.33,IL,1603753515
Petatlán,17.52,-101.27,89.6,66,40,9.17,MX,1603753515
Santa Cruz de la Sierra,-17.8,-63.17,80.6,47,75,11.41,BO,1603753237
Amahai,-3.33,128.92,86,88,100,3.04,ID,1603753515
Omealca,18.75,-96.77,79.32,73,29,1.23,MX,1603753515
Brae,60.4,-1.35,48.2,93,0,4.7,GB,1603753516
Dori,14.04,-0.03,83.5,14,0,6.53,BF,1603753516
Baruun-Urt,46.68,113.28,20.71,82,0,7.14,MN,1603753516
Husavik,66.04,-17.34,35.6,74,90,8.05,IS,1603753163
Wana,32.3,69.57,50.85,38,0,2.04,PK,1603753347
Myitkyina,25.38,97.4,69.31,86,0,1.68,MM,1603753516
Nara,34.69,135.8,55.99,87,40,3.36,JP,1603753516
Lityn,49.33,28.08,49.06,90,3,7.11,UA,1603753517
Shirokovskiy,58.84,57.78,23,84,75,1.99,RU,1603753517
North Bend,43.41,-124.22,60.01,50,1,18.34,US,1603753517
Flinders,-34.58,150.86,59,87,99,3,AU,1603753133
Belmonte,-15.86,-38.88,77,83,0,9.17,BR,1603753517
Kot Samaba,28.55,70.47,63.79,29,0,1.68,PK,1603753517
Mahébourg,-20.41,57.7,71.6,78,75,8.05,MU,1603753148
Marsh Harbour,26.54,-77.06,82.06,77,33,7.63,BS,1603753181
Aktau,43.65,51.2,37.4,93,0,8.95,KZ,1603753517
Chowchilla,37.12,-120.26,70,37,1,4.7,US,1603753282
Conde,-7.26,-34.91,78.8,83,40,5.82,BR,1603753475
Kenai,60.55,-151.26,46.4,88,90,10.29,US,1603753518
Qasigiannguit,68.82,-51.19,19.4,73,100,5.82,GL,1603753218
Khatanga,71.97,102.5,2.55,94,82,9.64,RU,1603753025
Provideniya,64.38,-173.3,32,92,90,4.47,RU,1603753133
Vila Velha,-20.33,-40.29,75.2,78,0,11.41,BR,1603753182
Sjenica,43.27,20,41.31,90,0,4.18,RS,1603753518
Vadsø,70.07,29.75,37.4,88,75,11.41,NO,1603753518
Kimberley,-28.73,24.76,68,64,100,17.22,ZA,1603753306
Tepetitla,19.28,-98.38,75.2,25,40,14.99,MX,1603753519
Forio,40.73,13.86,68,81,64,5.99,IT,1603753519
Troitsko-Pechorsk,62.71,56.2,16.63,97,54,3.91,RU,1603753237
Hervey Bay,-25.3,152.85,77,89,98,4,AU,1603753040
Tremedal,-14.98,-41.41,73.27,82,88,2.91,BR,1603753519
Bocaiúva,-17.11,-43.81,75.02,71,40,1.16,BR,1603753520
Tura,25.52,90.22,68.76,92,0,2.93,IN,1603753062
Hamilton,39.18,-84.53,50,81,90,6.93,US,1603753011
Waitati,-45.75,170.57,53.01,70,71,5.99,NZ,1603753181
Biswān,27.5,81,66.67,32,0,5.55,IN,1603753520
San Angelo,31.46,-100.44,35.6,93,90,12.75,US,1603753012
Orneta,54.11,20.13,53.2,85,65,10.8,PL,1603753520
Ferme-Neuve,46.7,-75.45,33.6,95,100,4.38,CA,1603753520
Shepsi,44.04,39.15,70.45,47,3,5.84,RU,1603753520
Te Anau,-45.42,167.72,54.55,52,59,6.44,NZ,1603753521
College,64.86,-147.8,28.4,86,90,6.93,US,1603753521
Acapulco de Juárez,16.86,-99.89,86,79,75,8.05,MX,1603753168
Vicuña,-30.03,-70.71,75,22,0,1.01,CL,1603753521
Malanje,-9.54,16.34,65.52,99,96,4.65,AO,1603753521
Inongo,-1.95,18.27,71.6,94,100,1.07,CD,1603753149
Tambilil,5.96,124.67,82.62,67,98,2.46,PH,1603753521
Elko,41,-115.5,46.99,14,1,13.87,US,1603753224
São João da Barra,-21.64,-41.05,72.36,88,24,7.72,BR,1603753521
Houma,29.6,-90.72,79,65,40,6.93,US,1603753225
Norton,-17.88,30.7,64,59,9,5.01,ZW,1603753522
Sola,-13.88,167.55,79.79,82,97,21.03,VU,1603753522
Wau,7.7,28,73.74,85,100,3.69,SS,1603753522
Pahrump,36.21,-115.98,57.99,7,0,11.99,US,1603753522
Presidencia Roque Sáenz Peña,-26.79,-60.44,67.35,62,0,5.66,AR,1603753522
Pevek,69.7,170.31,23.04,94,98,18.07,RU,1603752993
Samaná,19.21,-69.34,87.8,79,75,4.7,DO,1603753522
Beloha,-25.17,45.05,65.34,92,0,3.89,MG,1603753161
Rosarito,32.33,-117.03,73.4,43,20,9.17,MX,1603753523
Mount Isa,-20.73,139.5,73.4,18,75,11.41,AU,1603753174
Helong,42.54,129,46.26,70,76,5.06,CN,1603753523
Half Moon Bay,37.46,-122.43,73.4,6,1,12.75,US,1603753109
Roebourne,-20.78,117.13,73.45,53,20,4.18,AU,1603753523
Tunceli,39.11,39.55,46.4,42,0,5.82,TR,1603753523
Aranos,-24.13,19.12,72.57,41,49,8.03,NA,1603753523
Chumikan,54.72,135.31,33.04,84,69,2.19,RU,1603753524
Hare Bay,48.85,-54.01,35.6,59,40,5.82,CA,1603753524
Nokha,27.6,73.42,68.05,24,0,3.33,IN,1603753524
Bundaberg,-24.85,152.35,77,78,75,5.82,AU,1603753168
Umm Kaddadah,13.6,26.69,81.3,23,0,15.3,SD,1603753524
Stephenville,32.22,-98.2,37.99,93,90,19.46,US,1603753522
Bongandanga,1.5,21.05,70.95,98,74,2.13,CD,1603753525
Daru,-9.08,143.21,82.67,75,68,7.56,PG,1603753525
Hasaki,35.73,140.83,55.4,87,75,9.17,JP,1603753186
Maricá,-22.92,-42.82,75.2,83,20,10.29,BR,1603753314
Dzhebariki-Khaya,62.22,135.8,15.37,87,97,2.06,RU,1603753525
Porto Velho,-8.76,-63.9,86,74,40,3.36,BR,1603753449
São Bento do Sul,-26.25,-49.38,62.01,94,100,3,BR,1603753525
São João de Pirabas,-0.77,-47.18,80.53,77,48,7.45,BR,1603753525
Nālūt,30.33,10.85,63.07,37,0,6.06,LY,1603753526
Tawao,4.25,117.89,75.2,94,20,9.66,MY,1603753526
Salalah,17.02,54.09,75.2,60,0,4.7,OM,1603753169
Tautira,-17.73,-149.15,86,70,75,11.41,PF,1603753166
Evensk,61.95,159.23,30.9,89,100,11.97,RU,1603753526
Vyazemskiy,47.54,134.75,37.94,85,69,3.56,RU,1603753526
Caraí,-17.19,-41.69,66.31,95,2,0.89,BR,1603753526
Hambantota,6.12,81.12,78.08,84,96,6.98,LK,1603753526
Jilib,0.49,42.79,75.61,92,46,3.96,SO,1603753527
Padang,-0.95,100.35,77.97,71,100,2.77,ID,1603753527
Vardø,70.37,31.11,37.4,86,75,11.41,NO,1603753163
Ouégoa,-20.35,164.43,79.72,62,8,11.9,NC,1603753527
Kapit,2.02,112.93,72.88,94,100,1.52,MY,1603753149
Storozhevaya,43.88,41.45,52,42,0,5.77,RU,1603753527
Luwuk,-0.95,122.79,80.37,69,99,2.86,ID,1603753170
Mount Gambier,-37.83,140.77,51.8,81,87,17.22,AU,1603753135
Dongsheng,39.82,109.98,30.85,68,91,8.99,CN,1603753211
Los Llanos de Aridane,28.66,-17.92,69.8,64,0,10.29,ES,1603753528
Bangarapet,12.97,78.2,64.4,100,40,3.33,IN,1603753528
Labuhan,-6.88,112.21,79.2,82,78,11.14,ID,1603753214
Hohhot,40.81,111.65,19.4,57,0,2.24,CN,1603753240
Tabou,4.42,-7.35,77.72,90,68,9.57,CI,1603753529
Holland,42.79,-86.11,41,71,90,7.16,US,1603753275
Cabedelo,-6.98,-34.83,78.8,83,40,5.82,BR,1603753529
Mosquera,4.71,-74.23,60.8,77,40,9.17,CO,1603753529
Ancud,-41.87,-73.82,54,66,75,11.41,CL,1603753061
Anadyr,64.75,177.48,19.4,92,75,4.47,RU,1603753529
Lompoc,34.64,-120.46,69.8,40,1,14.99,US,1603753192
Boa Vista,2.82,-60.67,91.4,46,20,3.36,BR,1603753530
San Martín,-33.08,-68.47,82.4,18,0,13.87,AR,1603753530
Pitimbu,-7.47,-34.81,78.8,83,40,5.82,BR,1603753144
Tsimmerbude,54.67,20.13,50,100,75,6.71,RU,1603753198
Yar-Sale,66.83,70.83,7.12,95,63,6.49,RU,1603753193
Presidente Epitácio,-21.76,-52.12,72.59,90,100,5.39,BR,1603753530
Miles City,46.41,-105.84,24.8,58,90,8.05,US,1603753283
Meadow Lake,34.8,-106.54,27,79,90,27.51,US,1603753204
Watrous,51.67,-105.47,27.5,83,1,7.49,CA,1603753530
Vaxjo,56.88,14.81,48.2,100,100,5.82,SE,1603753531
Coruripe,-10.13,-36.18,78.08,78,1,21.65,BR,1603753531
Kiunga,-6.12,141.29,80.89,82,99,1.34,PG,1603753531
Sydney,-33.87,151.21,63,82,75,20.8,AU,1603753267
Mayskiy,47.69,40.1,50,61,0,20.13,RU,1603753531
San Lorenzo,-25.33,-57.53,77,65,40,17.22,PY,1603753395
Bilibino,68.05,166.44,5.94,93,98,2.82,RU,1603753532
Mocuba,-16.84,36.99,70.05,94,17,2.33,MZ,1603753532
San Miguel,13.48,-88.18,77.34,86,100,2.06,SV,1603753532
Lufilufi,-13.87,-171.6,86,83,75,10.29,WS,1603753532
Ampanihy,-24.7,44.75,69.87,72,0,4.47,MG,1603753532
Satānā,20.58,74.2,69.35,54,0,2.37,IN,1603753532
Igarka,67.47,86.58,-3.33,89,0,6.2,RU,1603753532
Nadym,65.53,72.52,6.19,94,0,9.1,RU,1603753532
Laguna,38.42,-121.42,75,7,1,20.8,US,1603753142
Mahajanga,-15.72,46.32,77,83,20,2.24,MG,1603753533
Manggar,-2.88,108.27,78.22,84,100,5.21,ID,1603753533
Kabare,-2.47,28.82,62.33,86,100,0.89,CD,1603753533
Tessalit,20.2,1.01,78.42,17,8,9.53,ML,1603753130
Marathon,44.9,-89.77,30.2,46,75,10.29,US,1603753470
Lakes Entrance,-37.88,147.98,57.99,94,98,1.99,AU,1603753533
Ust-Kuyga,70.02,135.6,-2.24,87,90,1.43,RU,1603753040
Puerto Baquerizo Moreno,-0.9,-89.6,67.64,83,64,10.33,EC,1603753534
Mielec,50.29,21.42,53.6,81,0,6.93,PL,1603753534
San Juan,-31.54,-68.54,74.66,19,0,6.24,AR,1603753169
Kalmunai,7.42,81.82,78.51,81,55,4.21,LK,1603753144
Ulaangom,49.98,92.07,23.13,89,76,2.04,MN,1603753267
Praia,14.92,-23.51,78.8,83,40,18.34,CV,1603753534
Galesong,-5.32,119.37,75.2,88,20,2.24,ID,1603753461
Freetown,8.48,-13.23,82.4,74,75,8.05,SL,1603753534
Menongue,-14.66,17.69,71.24,28,78,2.59,AO,1603753183
Arman',59.7,150.17,33.51,83,83,12.3,RU,1603753534
Port Hedland,-20.32,118.57,73.4,88,40,5.39,AU,1603753535
Nelson Bay,-32.72,152.15,63,88,90,17.22,AU,1603753254
Rabo de Peixe,37.8,-25.58,68,82,40,14.99,PT,1603753535
Naze,28.37,129.48,71.6,64,20,8.05,JP,1603753535
Las Vegas,36.17,-115.14,60.8,4,1,22.5,US,1603753228
Makakilo City,21.35,-158.09,84.2,66,20,9.17,US,1603752942
Inhambane,-23.86,35.38,72.43,89,0,4.68,MZ,1603753192
Bétaré Oya,5.6,14.08,68.61,91,90,2.19,CM,1603753535
Eureka,40.8,-124.16,73.99,23,1,17.22,US,1603753535
Ergani,38.27,39.76,55.4,42,0,5.82,TR,1603753535
Chiavari,44.32,9.32,57,86,100,4.16,IT,1603753536
Luba,3.46,8.55,78.57,82,84,3.4,GQ,1603753536
Bereket,39.24,55.52,62.38,29,100,5.32,TM,1603753536
Santa Maria,-29.68,-53.81,66.2,93,75,3.36,BR,1603753508
Korla,41.76,86.15,41,83,76,1.99,CN,1603753537
Ordzhonīkīdze,52.44,61.74,28.92,97,100,26.42,KZ,1603753537
Bontang,0.13,117.5,76.75,85,79,7.38,ID,1603753537
Paamiut,61.99,-49.67,32.27,90,92,29.24,GL,1603753537
Shitanjing,39.23,106.34,35.89,67,80,1.12,CN,1603753537
Songjianghe,42.19,127.48,41.09,82,84,3.76,CN,1603753537
Mwinilunga,-11.74,24.43,65.71,83,98,3,ZM,1603753537
Sisimiut,66.94,-53.67,20.59,91,66,7.27,GL,1603753157
Jizan,17.33,42.67,86,66,20,0.89,SA,1603753167
Kushmurun,52.45,64.63,30.58,95,100,24,KZ,1603753537
Kargopol',61.51,38.95,37.81,92,92,7.2,RU,1603753221
San Buenaventura,27.08,-101.53,69.49,63,48,10,MX,1603753538
Olinda,-8.01,-34.86,80.6,74,75,9.17,BR,1603753538
Ndjolé,-0.18,10.76,75.45,93,99,4.05,GA,1603753538
Kumul,42.8,93.45,37.02,67,99,4.18,CN,1603753195
Mogadishu,2.04,45.34,79.45,84,84,7.45,SO,1603753538
Warri,5.52,5.75,76.23,92,77,2.57,NG,1603753538
Port Hardy,50.7,-127.42,46.4,93,90,8.05,CA,1603753166
Erzin,36.96,36.2,73,35,100,13,TR,1603753174
Itarema,-2.92,-39.92,78.73,82,0,14.09,BR,1603753221
Auki,-8.77,160.7,85.82,65,60,1.68,SB,1603753539
Ladário,-19,-57.6,71.6,100,90,11.41,BR,1603753524
Havelock,34.88,-76.9,66,90,1,4.23,US,1603753539
Noumea,-22.28,166.46,86,37,0,6.93,NC,1603753539
Shumskiy,54.83,99.13,31.37,87,100,3.76,RU,1603753539
Malbork,54.04,19.03,54,88,97,1.01,PL,1603753539
Tomatlán,19.93,-105.25,82.9,78,86,9.44,MX,1603753171
Madison Heights,42.49,-83.11,46.4,65,90,6.93,US,1603753265
Kidal,18.44,1.41,78.89,16,0,8.93,ML,1603753147
Ambovombe,-25.17,46.08,68.77,86,0,2.57,MG,1603753540
Calama,-22.47,-68.93,75.2,11,0,25.28,CL,1603753447
Sorong,-0.88,131.25,78.73,79,100,5.79,ID,1603753146
Horsham,51.06,-0.33,48,93,0,6.93,GB,1603753540
Porto-Novo,6.5,2.6,80.6,88,40,9.17,BJ,1603753540
Kedrovyy,56.17,91.82,33.8,100,40,4.94,RU,1603753540
Matagami,49.75,-77.63,23,92,90,10.29,CA,1603753540
Leh,34.17,77.58,26.96,68,0,4.7,IN,1603753540
Ābyek,36.07,50.55,57.2,41,20,4.7,IR,1603753541
Torbay,47.67,-52.73,37,64,90,8.05,CA,1603753183
Kavaratti,10.57,72.64,81.91,72,79,6.22,IN,1603753207
Haripur,34,72.93,57.99,58,0,5.82,PK,1603753252
Coahuayana Viejo,18.73,-103.68,82.4,78,75,11.41,MX,1603753541
Mweka,-4.85,21.57,68.25,96,78,1.86,CD,1603753541
Saint-François,46.42,3.91,45,87,75,3.36,FR,1603753541
Rundu,-17.93,19.77,72.7,21,0,6.53,NA,1603753541
Auburn,47.31,-122.23,52,57,75,6.93,US,1603753317
Pyn U Lwin,22.03,96.47,63.57,100,32,2.28,MM,1603753542
Riohacha,11.54,-72.91,82.13,76,64,9.73,CO,1603753534
Sydney,-33.87,151.21,63,82,75,20.8,AU,1603753328
Kibre Mengist,5.88,38.98,58.32,95,61,1.16,ET,1603753542
Tutayev,57.89,39.54,35.6,92,0,4.47,RU,1603753542
Shelabolikha,53.41,82.62,42.8,56,40,8.95,RU,1603753542
Namatanai,-3.67,152.43,84.65,64,39,5.55,PG,1603753542
Hergla,36.03,10.51,69.8,59,0,16.11,TN,1603753542
Andapa,-14.65,49.65,64.85,91,56,0.63,MG,1603753543
Gornozavodsk,58.38,58.32,20.98,94,11,8.16,RU,1603753543
Dulce Grande,23,-102.17,78.8,21,20,11.41,MX,1603753543
Yumen,40.28,97.2,28.72,82,100,1.92,CN,1603753214
Eresós,39.17,25.93,62.6,72,0,3.36,GR,1603753543
Ambilobe,-13.2,49.05,72.03,72,25,4.05,MG,1603752847
Rønne,55.1,14.71,51.8,100,100,8.05,DK,1603753543
Urubichá,-15.38,-62.95,70.75,97,100,2.93,BO,1603753543
Yulara,-25.24,130.99,64.4,27,0,10.29,AU,1603753169
Tongzhou,39.91,116.6,57,55,0,4.47,CN,1603753544
Nicoya,10.15,-85.45,76.89,92,98,1.32,CR,1603753544
